"Butterfly life stage","Abundance count","Outside Transect Count","Dragonfly Stage","species_name_prefered","species_name","id","sample_id","determiner_id","confidential","created_on","created_by_id","updated_on","updated_by_id","website_id","external_key","comment","taxa_taxon_list_id","deleted","record_status","verified_by_id","verified_on","downloaded_flag","downloaded_on","all_info_in_determinations","zero_abundance","last_verification_check_date","training","sensitivity_precision","release_status","record_substatus","record_decision_source","import_guid","metadata","verifier_only_data","classification_event_id","machine_involvement","dna_derived"
"","1","","","Pieris brassicae","велики купусар","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","Large White","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","Kålfjäril","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","Белянка капустная","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","kaaliperhonen","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","kupusov bijelac","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","káposzta-fehérlepke","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","Großer Kohl-Weißling","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","Bělásek zelný","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
"","1","","","Pieris brassicae","groot koolwitje","43414643","30910028","","false","2025-07-15 11:10:11","428820","2025-07-15 11:10:11","428820","118","","","432220","false","C","","","N","","N","false","2025-07-15 12:30:03","false","","R","","","","","","","","false"
